DATE_TRANSPA,CANTON,INDICATEUR,TYPE_SIM,VAR,Indic_Init,Indic,SEUIL1,SEUIL2,ASSIETTE,NOTATION,Scenario,VAR_ZCN10Y_BP,VAR_ZCR10Y_BP,VAR_BEI10Y_BP,VAR_SPD_BP,RDT_EQU,RDT_IMMO,DEFAUT_GOVT,DEFAUT_CORP,indic_tod
2024-12-31,CGP AG,PDD,GLOBAL,99,0.00028909101611,0.00125146187545,0.0005,0.02,6363500630.3,3.0,249.0,-81.0,15.6614,-96.2755033696,0.6000000000000001,-0.248523665,0.057203,0.00146790332897,0.00205506466056,0
2024-12-31,CGP AG,PDD,IMMO,95,0.00028909101611,0.00036923152859,0.0005,0.02,6363500630.3,2.0,495.0,0.0,0.0,0.0,0.0,0.0,-0.031304,0.0,0.0,0
2024-12-31,CGP AG,PDD,IMMO,99,0.00028909101611,0.0005047856397250001,0.0005,0.02,6363500630.3,2.0,498.0,0.0,0.0,0.0,0.0,0.0,-0.066146,0.0,0.0,0
2024-12-31,CGP AG,PDD,TAUX,95,0.00028909101611,0.000740768122695,0.0005,0.02,6363500630.3,3.0,387.0,-116.1,-67.9436,-46.9032194704,0.0,0.0,0.0,0.0,0.0,0
2024-12-31,CGP AG,PDD,TAUX,99,0.00028909101611,0.0009854662033050002,0.0005,0.02,6363500630.3,3.0,644.0,-150.6,-132.1923,-15.9806766931,0.0,0.0,0.0,0.0,0.0,0
2024-12-31,CGP AG,PED,VA,95,0.00108696967943,0.00230491207905,0.0035,0.01,4903663586.4,1.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00217552903201,0.00304574064481,0
2024-12-31,CGP AG,PED,VA,99,0.00108696967943,0.00265960846508,0.0035,0.01,4903663586.4,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025346026525,0.0035484437135,0
2024-12-31,CGP AG,PMVL,ACTION,95,1.10027579788,1.07063194507,1.08,1.0,6363500630.3,3.0,440.0,0.0,0.0,0.0,0.0,-0.17795831,0.0,0.0,0.0,0
2024-12-31,CGP AG,PMVL,ACTION,99,1.10027579788,1.054887188,1.08,1.0,6363500630.3,3.0,415.0,0.0,0.0,0.0,0.0,-0.272477376,0.0,0.0,0.0,0
2024-12-31,CGP AG,PMVL,CREDIT,95,1.10027579788,1.07213222176,1.08,1.0,6363500630.3,3.0,681.0,0.0,0.0,0.0,48.9,0.0,0.0,0.0,0.0,0
2024-12-31,CGP AG,PMVL,CREDIT,99,1.10027579788,1.05767067947,1.08,1.0,6363500630.3,3.0,87.0,0.0,0.0,0.0,74.9,0.0,0.0,0.0,0.0,0
2024-12-31,CGP AG,PMVL,GLOBAL,95,1.10027579788,1.00632155923,1.08,1.0,6363500630.3,5.0,812.0,97.9,113.1659,-17.1582269639,-16.1,-0.16016433200000002,0.053285,0.00123515938109,0.00172922313353,0
2024-12-31,CGP AG,PMVL,GLOBAL,99,1.10027579788,0.958291018591,1.08,1.0,6363500630.3,5.0,146.0,140.8,147.3425,-9.19694710322,52.9,-0.106978972,0.045103,0.00196980288066,0.00275772403292,0
2024-12-31,CGP AG,PMVL,IMMO,95,1.10027579788,1.09949948679,1.08,1.0,6363500630.3,1.0,495.0,0.0,0.0,0.0,0.0,0.0,-0.031304,0.0,0.0,0
2024-12-31,CGP AG,PMVL,IMMO,99,1.10027579788,1.09863512764,1.08,1.0,6363500630.3,1.0,498.0,0.0,0.0,0.0,0.0,0.0,-0.066146,0.0,0.0,0
2024-12-31,CGP AG,PMVL,TAUX,95,1.10027579788,1.01398544939,1.08,1.0,6363500630.3,5.0,699.0,137.8,62.3047,73.4267217703,0.0,0.0,0.0,0.0,0.0,0
2024-12-31,CGP AG,PMVL,TAUX,99,1.10027579788,0.984048449267,1.08,1.0,6363500630.3,5.0,611.0,179.5,140.8594,35.2315235405,0.0,0.0,0.0,0.0,0.0,0
2024-12-31,CGP AG,PRE,ACTION,95,1.21107962669,1.08186063141,1.13,1.0,1459837043.9,3.0,440.0,0.0,0.0,0.0,0.0,-0.17795831,0.0,0.0,0.0,0
2024-12-31,CGP AG,PRE,ACTION,99,1.21107962669,1.01322847006,1.13,1.0,1459837043.9,3.0,415.0,0.0,0.0,0.0,0.0,-0.272477376,0.0,0.0,0.0,0
2024-12-31,CGP AG,PRE,CREDIT,95,1.21107962669,1.2067174694,1.13,1.0,1459837043.9,1.0,681.0,0.0,0.0,0.0,48.9,0.0,0.0,0.0,0.0,0
2024-12-31,CGP AG,PRE,CREDIT,99,1.21107962669,1.20432865858,1.13,1.0,1459837043.9,1.0,87.0,0.0,0.0,0.0,74.9,0.0,0.0,0.0,0.0,0
2024-12-31,CGP AG,PRE,GLOBAL,95,1.21107962669,1.07975983265,1.13,1.0,1459837043.9,3.0,77.0,97.3,95.2938,0.166100332759,17.9,-0.16854554900000002,0.040159,0.00152560532963,0.00213584746148,0
2024-12-31,CGP AG,PRE,GLOBAL,99,1.21107962669,1.00317345231,1.13,1.0,1459837043.9,3.0,311.0,69.4,107.3711,-39.3987474844,71.2,-0.26871604400000004,0.052252,0.00212061997824,0.00296886796953,0
2024-12-31,CGP AG,PRE,IMMO,95,1.21107962669,1.20769564891,1.13,1.0,1459837043.9,1.0,495.0,0.0,0.0,0.0,0.0,0.0,-0.031304,0.0,0.0,0
2024-12-31,CGP AG,PRE,IMMO,99,1.21107962669,1.20392786534,1.13,1.0,1459837043.9,1.0,498.0,0.0,0.0,0.0,0.0,0.0,-0.066146,0.0,0.0,0
2024-12-31,CGP AG,PRE,TAUX,95,1.21107962669,1.19653837222,1.13,1.0,1459837043.9,1.0,45.0,33.3,110.8201,-78.3516722947,0.0,0.0,0.0,0.0,0.0,0
2024-12-31,CGP AG,PRE,TAUX,99,1.21107962669,1.19120389074,1.13,1.0,1459837043.9,1.0,415.0,79.7,158.9029,-80.5379973903,0.0,0.0,0.0,0.0,0.0,0
2024-12-31,CGP AG,PVR,ACTION,95,0.0531670924157,0.0295451741019,0.06,0.02,6363500630.3,5.0,440.0,0.0,0.0,0.0,0.0,-0.17795831,0.0,0.0,0.0,0
2024-12-31,CGP AG,PVR,ACTION,99,0.0531670924157,0.0191998020988,0.06,0.02,6363500630.3,5.0,415.0,0.0,0.0,0.0,0.0,-0.272477376,0.0,0.0,0.0,0
2024-12-31,CGP AG,PVR,CREDIT,95,0.0531670924157,0.0522146667481,0.06,0.02,6363500630.3,4.0,681.0,0.0,0.0,0.0,48.9,0.0,0.0,0.0,0.0,0
2024-12-31,CGP AG,PVR,CREDIT,99,0.0531670924157,0.051748584646200003,0.06,0.02,6363500630.3,4.0,87.0,0.0,0.0,0.0,74.9,0.0,0.0,0.0,0.0,0
